text,label,is_generated
"""Generalnie nie mam żadnych zastrzeżeń i jak najbardziej polecam - pokrowiec jest solidny, świetnie wygląda (chociaż wolałbym, gdyby był matowy, ale to inna kwestia), a także sztywno trzyma pada. Jedyny, drobny minus to zamek błyskawiczny, który przy otwarciu w dziwny sposób się """"rozkłada"""", ale można to samemu sobie poprawić, poza tym nie wpływa to na nic.""",2,False
"""Generalnie nie mam żadnych zastrzeżeń i jak najbardziej polecam - pokrowiec jest solidny, świetnie wygląda (chociaż wolałbym, gdyby był matowy, ale to inna kwestia), a także sztywno trzyma pada. Jedyny, drobny minus to zamek błyskawiczny, który przy otwarciu w dziwny sposób się """"rozkłada"""", ale można to samemu sobie poprawić, poza tym nie wpływa to na nic."" - nie zauważyłem, żeby w innych Xboksach zamek nie działał.",2,True
"""Generalnie nie mam żadnych zastrzeżeń i jak najbardziej polecam - pokrowiec jest solidny, świetnie wygląda (chociaż wolałbym, gdyby był matowy, ale to inna kwestia), a także sztywno trzyma pada. Jedyny, drobny minus to zamek błyskawiczny, który przy otwarciu w dziwny sposób się """"rozkłada"""", ale można to samemu sobie poprawić, poza tym nie wpływa to na nic."""". Bardzo dobry produkt, na pewno kupię go ponownie.",2,True
"""Generalnie nie mam żadnych zastrzeżeń i jak najbardziej polecam - pokrowiec jest solidny, świetnie wygląda (chociaż wolałbym, gdyby był matowy, ale to inna kwestia), a także sztywno trzyma pada. Jedyny, drobny minus to zamek błyskawiczny, który przy otwarciu w dziwny sposób się """"rozkłada"""", ale można to samemu sobie poprawić, poza tym nie wpływa to na nic."" - to jest właśnie błąd - pokrowiec to tylko środek transportu. ""Gra nie posiada funkcji replayable, a jedynie możliwość doładowania baterii """" - to jest akurat nic odkrywczego",2,True
Etui na pierwszy rzut oka wydaje się bardzo ładne i dobrze wykonane lecz nie nadaje się do użytku. Przednia część etui jest sztywna i twarda co powoduje powstawanie ryz w przypadku dostania się zanieczyszczeń pomiędzy wyświetlacz a etui. Po tygodniu użytkowania szkło na wyświetlaczu nadawało się do wymiany. Szkoda telefonu.  Aplikacja nie działa.,0,False
Etui na pierwszy rzut oka wydaje się bardzo ładne i dobrze wykonane lecz nie nadaje się do użytku. Przednia część etui jest sztywna i twarda co powoduje powstawanie ryz w przypadku dostania się zanieczyszczeń pomiędzy wyświetlacz a etui. Po tygodniu użytkowania szkło na wyświetlaczu nadawało się do wymiany. Szkoda telefonu.  Aplikacja nie działa. Po 5 dniach użytkowania z etui już nie da się korzystać.,0,True
Etui na pierwszy rzut oka wydaje się bardzo ładne i dobrze wykonane lecz nie nadaje się do użytku. Przednia część etui jest sztywna i twarda co powoduje powstawanie ryz w przypadku dostania się zanieczyszczeń pomiędzy wyświetlacz a etui. Po tygodniu użytkowania szkło na wyświetlaczu nadawało się do wymiany. Szkoda telefonu.  Aplikacja nie działa. Naprawde tego nie ogarniam. Szkoda.,0,True
"Etui na pierwszy rzut oka wydaje się bardzo ładne i dobrze wykonane lecz nie nadaje się do użytku. Przednia część etui jest sztywna i twarda co powoduje powstawanie ryz w przypadku dostania się zanieczyszczeń pomiędzy wyświetlacz a etui. Po tygodniu użytkowania szkło na wyświetlaczu nadawało się do wymiany. Szkoda telefonu.  Aplikacja nie działa. Nie wykrywa telefonu. Na początku myślałem, że to może wina ekranu ale w takim razie dlaczego nie mogę go odblokować? Zaczynam się zastanawiać czy to wina złego oprogramowania. Czy ktoś miał podobny",0,True
"Statyw fajnie wykonany, wysoki i ku mojemu zdziwieniu stabilny (statywy w tym przedziale cenowym mają skłonności do przewracania się, gdy podłoże nie jest idealnie płaskie). Jedynym minusem, którego się dopatrzyłem to to, że głowica nie pozwala na płynną pracę (płynny ruch) przez co nagrywanie filmów z tego statywu może być trudne.",1,False
"Statyw fajnie wykonany, wysoki i ku mojemu zdziwieniu stabilny (statywy w tym przedziale cenowym mają skłonności do przewracania się, gdy podłoże nie jest idealnie płaskie). Jedynym minusem, którego się dopatrzyłem to to, że głowica nie pozwala na płynną pracę (płynny ruch) przez co nagrywanie filmów z tego statywu może być trudne. Jakość wykonania - rewelacja. Jest to jedno z moich pierwszych nagrań video, które od razu po wyjęciu z pudełka zrobiłem po zmroku. Dobrze też że głowica nie jest częścią zestawu - nie było",1,True
"Statyw fajnie wykonany, wysoki i ku mojemu zdziwieniu stabilny (statywy w tym przedziale cenowym mają skłonności do przewracania się, gdy podłoże nie jest idealnie płaskie). Jedynym minusem, którego się dopatrzyłem to to, że głowica nie pozwala na płynną pracę (płynny ruch) przez co nagrywanie filmów z tego statywu może być trudne. Oprócz tego jest to jeden z bardziej udanych statywów na rynku. Bardzo podoba mi się to, że można go używać jako podstawkę pod laptopa oraz jako podstawkę pod telefon (jak w większości",1,True
"Statyw fajnie wykonany, wysoki i ku mojemu zdziwieniu stabilny (statywy w tym przedziale cenowym mają skłonności do przewracania się, gdy podłoże nie jest idealnie płaskie). Jedynym minusem, którego się dopatrzyłem to to, że głowica nie pozwala na płynną pracę (płynny ruch) przez co nagrywanie filmów z tego statywu może być trudne. Także polecam! Pozdrawiam. PS. Jeśli chcesz widzieć więcej wideo z moimi filmami - zapraszam na mój Fanpage, gdzie publikuję moje filmy, opinie i przemyślenia związane z fotografią i filmem",1,True
"przepraszam ze tak dlugo nie odpowiadalem ,ale produkt jest de best oprocz balaganu w kuchi jest ok soki ktore zawiozlem do pracy zostaly skomunsowane w krotkiej chwili jedyna wada jest ze nie mamy grzie schowa ale to nie problem ,polecam zmieli wszystko nawet cegly -ale brac to z przymrozonym okie  jesze raz poleca i pozdrawiam ",2,False
"przepraszam ze tak dlugo nie odpowiadalem ,ale produkt jest de best oprocz balaganu w kuchi jest ok soki ktore zawiozlem do pracy zostaly skomunsowane w krotkiej chwili jedyna wada jest ze nie mamy grzie schowa ale to nie problem ,polecam zmieli wszystko nawet cegly -ale brac to z przymrozonym okie  jesze raz poleca i pozdrawiam 😘 PAMIETAJ !!! -oczywiscie na miejscu jest skaner i uklad blendowania ,posiadam srednio gruby telefon z ukladem gsm ktory nie pozwala",2,True
"przepraszam ze tak dlugo nie odpowiadalem ,ale produkt jest de best oprocz balaganu w kuchi jest ok soki ktore zawiozlem do pracy zostaly skomunsowane w krotkiej chwili jedyna wada jest ze nie mamy grzie schowa ale to nie problem ,polecam zmieli wszystko nawet cegly -ale brac to z przymrozonym okie  jesze raz poleca i pozdrawiam ). pozdrawiam . pozdrawiam. pozdrawiam. pozdrawiam. pozdrawiam. pozdrawiam.",2,True
"przepraszam ze tak dlugo nie odpowiadalem ,ale produkt jest de best oprocz balaganu w kuchi jest ok soki ktore zawiozlem do pracy zostaly skomunsowane w krotkiej chwili jedyna wada jest ze nie mamy grzie schowa ale to nie problem ,polecam zmieli wszystko nawet cegly -ale brac to z przymrozonym okie  jesze raz poleca i pozdrawiam ʘ‿ʘ)﻿.",2,True
"Brak opakowania, instrukcji przez co występują trudności w identyfikacji sterowników - nie instaluje się też automatycznie  pod Win7. Nie uruchamia się po uśpieniu, gubi sterowniki, sieć przez co rozłącza się i co utrudnia użytkowanie. Prawdopodobnie produkt z odzysku, po zwrocie nie w pełni kompatybilny i  sprawny. Bez anteny b. słaby zasięg.",0,False
"Brak opakowania, instrukcji przez co występują trudności w identyfikacji sterowników - nie instaluje się też automatycznie  pod Win7. Nie uruchamia się po uśpieniu, gubi sterowniki, sieć przez co rozłącza się i co utrudnia użytkowanie. Prawdopodobnie produkt z odzysku, po zwrocie nie w pełni kompatybilny i  sprawny. Bez anteny b. słaby zasięg. Wg. specyfikacji sprzęt jest sprawny, bez wad, poprawnie działający i sprawny. Nie jest używany przez długi czas.",0,True
"Brak opakowania, instrukcji przez co występują trudności w identyfikacji sterowników - nie instaluje się też automatycznie  pod Win7. Nie uruchamia się po uśpieniu, gubi sterowniki, sieć przez co rozłącza się i co utrudnia użytkowanie. Prawdopodobnie produkt z odzysku, po zwrocie nie w pełni kompatybilny i  sprawny. Bez anteny b. słaby zasięg. Wg producenta to jest bardzo dobry sprzęt, ale nie do zastosowań profesjonalnych.",0,True
"Brak opakowania, instrukcji przez co występują trudności w identyfikacji sterowników - nie instaluje się też automatycznie  pod Win7. Nie uruchamia się po uśpieniu, gubi sterowniki, sieć przez co rozłącza się i co utrudnia użytkowanie. Prawdopodobnie produkt z odzysku, po zwrocie nie w pełni kompatybilny i  sprawny. Bez anteny b. słaby zasięg. Rozmiar paczki ok. 1,8m x 1,2m.",0,True
"Do Bosch SMV53L10EU pasuje IDEALNIE - wpasowuje się w nowe miejsce (które jest przygotowane w zmywarce), więc jeśli po drodze coś się połamało w gnieździe to bez obaw - wchodzi idealnie. Zastosowano łączenie bardziej trwałe niż w oryginalnej zmywarce. Wszystko na koniec trzeba delikatnie potraktować młotkiem, żeby schowało się pod osłonkę - każdy sobie z tym poradzi ;-)",2,False
"Do Bosch SMV53L10EU pasuje IDEALNIE - wpasowuje się w nowe miejsce (które jest przygotowane w zmywarce), więc jeśli po drodze coś się połamało w gnieździe to bez obaw - wchodzi idealnie. Zastosowano łączenie bardziej trwałe niż w oryginalnej zmywarce. Wszystko na koniec trzeba delikatnie potraktować młotkiem, żeby schowało się pod osłonkę - każdy sobie z tym poradzi ;-) Jeśli ktoś się zastanawia czy warto to już chyba trochę za późno na zakup - bo IDEALNIE się sprawdził. Cena trochę wygórowana, ale jak ktoś ma ochotę na coś więcej, to można",2,True
"Do Bosch SMV53L10EU pasuje IDEALNIE - wpasowuje się w nowe miejsce (które jest przygotowane w zmywarce), więc jeśli po drodze coś się połamało w gnieździe to bez obaw - wchodzi idealnie. Zastosowano łączenie bardziej trwałe niż w oryginalnej zmywarce. Wszystko na koniec trzeba delikatnie potraktować młotkiem, żeby schowało się pod osłonkę - każdy sobie z tym poradzi ;-) Nie ma żadnych plam - wszystko jest idealnie czyste. Jest świetnie wykonana i bardzo funkcjonalna.",2,True
"Do Bosch SMV53L10EU pasuje IDEALNIE - wpasowuje się w nowe miejsce (które jest przygotowane w zmywarce), więc jeśli po drodze coś się połamało w gnieździe to bez obaw - wchodzi idealnie. Zastosowano łączenie bardziej trwałe niż w oryginalnej zmywarce. Wszystko na koniec trzeba delikatnie potraktować młotkiem, żeby schowało się pod osłonkę - każdy sobie z tym poradzi ;-) . Ponadto pod wpływem uderzenia młotkiem, wgniecenie jest dość duże, więc nie trzeba będzie się martwić, że uszkodzi się obudowa. Przykładowo - w zmywarce Bosch SM",2,True
Jakość i praktyczność wykonania tego trymera pozostawia naprawdę wiele do życzenia. O golarce w tym zestawie nie warto nawet wspominać. Lepiej od razu ja wyrzucić. Za połowę ceny można kupić nieco lepszy produkt produkowany dla marketów jak np Lidl. Jednym słowem warto dołożyć kilkanaście złotych i zakupić np Philipsa. Różnica kolosalna. Nie polecam.,0,False
Jakość i praktyczność wykonania tego trymera pozostawia naprawdę wiele do życzenia. O golarce w tym zestawie nie warto nawet wspominać. Lepiej od razu ja wyrzucić. Za połowę ceny można kupić nieco lepszy produkt produkowany dla marketów jak np Lidl. Jednym słowem warto dołożyć kilkanaście złotych i zakupić np Philipsa. Różnica kolosalna. Nie polecam. Jestem osobą która korzysta z golarek Philips oraz pracuje z maszynami tego producenta.,0,True
Jakość i praktyczność wykonania tego trymera pozostawia naprawdę wiele do życzenia. O golarce w tym zestawie nie warto nawet wspominać. Lepiej od razu ja wyrzucić. Za połowę ceny można kupić nieco lepszy produkt produkowany dla marketów jak np Lidl. Jednym słowem warto dołożyć kilkanaście złotych i zakupić np Philipsa. Różnica kolosalna. Nie polecam. Mój egzemplarz ma już ponad pół roku. Czas na zmianę.,0,True
Jakość i praktyczność wykonania tego trymera pozostawia naprawdę wiele do życzenia. O golarce w tym zestawie nie warto nawet wspominać. Lepiej od razu ja wyrzucić. Za połowę ceny można kupić nieco lepszy produkt produkowany dla marketów jak np Lidl. Jednym słowem warto dołożyć kilkanaście złotych i zakupić np Philipsa. Różnica kolosalna. Nie polecam. Moja ocena: 1. Nie polecam. 2. Ocena: 3. Nie polecam. 4. Ocena: 5.,0,True
